Name,Abi Double Barrelled Bonnell,Tent,1,Score,6
Block 1,archery
Block 2,paddle boarding
Block 3,crafts

Name,Alanna Janssen,Tent,2,Score,9
Block 1,low ropes
Block 2,sports
Block 3,kayaking
Block 4,riflery

Name,Alex Piper,Tent,3,Score,7
Block 1,riflery
Block 2,archery
Block 3,low ropes
Block 4,sports

Name,Alyssa Ross,Tent,4,Score,6
Block 1,archery
Block 2,crafts
Block 3,paddle boarding

Name,Amaya Carriere,Tent,5,Score,7
Block 1,low ropes
Block 2,sports
Block 3,riflery
Block 4,paddle boarding

Name,Amelia Monteith,Tent,6,Score,9
Block 1,low ropes
Block 2,sports
Block 3,paddle boarding
Block 4,archery

Name,Anatol Moucha,Tent,7,Score,7
Block 1,riflery
Block 2,low ropes
Block 3,sports
Block 4,canoeing

Name,Antonia Gonzalez,Tent,8,Score,7
Block 1,low ropes
Block 2,sports
Block 3,riflery
Block 4,archery

Name,Arya Bhardwaj,Tent,9,Score,7
Block 1,riflery
Block 2,paddle boarding
Block 3,low ropes
Block 4,sports

Name,Atticus Liesch,Tent,10,Score,6
Block 1,riflery
Block 2,archery
Block 3,paddle boarding

Name,Aurora Pollock,Tent,1,Score,7
Block 1,low ropes
Block 2,sports
Block 3,archery
Block 4,kayaking

Name,Blake Lane,Tent,2,Score,6
Block 1,paddle boarding
Block 2,riflery
Block 3,kayaking

Name,Brody Friederich,Tent,3,Score,6
Block 1,riflery
Block 2,archery
Block 3,canoeing

Name,Brooke Puetz,Tent,4,Score,7
Block 1,low ropes
Block 2,sports
Block 3,paddle boarding
Block 4,riflery

Name,Caleb Lansdowne,Tent,5,Score,5
Block 1,kayaking
Block 2,riflery
Block 3,archery

Name,Carson Todd,Tent,6,Score,5
Block 1,archery
Block 2,kayaking
Block 3,riflery

Name,Cedric Demarzo,Tent,7,Score,7
Block 1,low ropes
Block 2,sports
Block 3,riflery
Block 4,paddle boarding

Name,Charlotte Sauer,Tent,8,Score,6
Block 1,archery
Block 2,riflery
Block 3,canoeing

Name,Chase Day,Tent,9,Score,6
Block 1,riflery
Block 2,archery
Block 3,kayaking

Name,Chloe Saure,Tent,10,Score,6
Block 1,crafts
Block 2,archery
Block 3,paddle boarding

Name,Claire Krause,Tent,1,Score,6
Block 1,canoeing
Block 2,paddle boarding
Block 3,kayaking

Name,Cole Ochs,Tent,2,Score,7
Block 1,riflery
Block 2,archery
Block 3,low ropes
Block 4,sports

Name,Elise Newcomb,Tent,3,Score,6
Block 1,paddle boarding
Block 2,kayaking
Block 3,crafts

Name,Ella Finneron,Tent,4,Score,5
Block 1,archery
Block 2,paddle boarding
Block 3,riflery

Name,Faith Casey,Tent,5,Score,8
Block 1,riflery
Block 2,crafts
Block 3,low ropes
Block 4,sports

Name,Fiona Prinsloo,Tent,6,Score,6
Block 1,archery
Block 2,paddle boarding
Block 3,crafts

Name,Gabriel RAFFIN,Tent,7,Score,6
Block 1,archery
Block 2,riflery
Block 3,low ropes
Block 4,sports

Name,Gavin Todd,Tent,8,Score,6
Block 1,riflery
Block 2,archery
Block 3,kayaking

Name,Gwenyth Matthews,Tent,9,Score,5
Block 1,crafts
Block 2,paddle boarding
Block 3,archery

Name,Harmony Dawson,Tent,10,Score,9
Block 1,low ropes
Block 2,sports
Block 3,crafts
Block 4,canoeing

Name,Isaiah Briese,Tent,1,Score,6
Block 1,riflery
Block 2,archery
Block 3,kayaking

Name,Jacob Sinclair,Tent,2,Score,6
Block 1,riflery
Block 2,kayaking
Block 3,canoeing

Name,Jayden Watson,Tent,3,Score,6
Block 1,archery
Block 2,riflery
Block 3,low ropes
Block 4,sports

Name,Jonathan Matthews,Tent,4,Score,6
Block 1,riflery
Block 2,archery
Block 3,paddle boarding

Name,Julianne Hendriks,Tent,5,Score,6
Block 1,archery
Block 2,riflery
Block 3,low ropes
Block 4,sports

Name,Julien Durupt,Tent,6,Score,5
Block 1,riflery
Block 2,low ropes
Block 3,sports
Block 4,kayaking

Name,Justice Findlay,Tent,7,Score,6
Block 1,riflery
Block 2,kayaking
Block 3,paddle boarding

Name,Kaelen Pollock,Tent,8,Score,5
Block 1,riflery
Block 2,archery
Block 3,low ropes
Block 4,sports

Name,Kaylee Speed,Tent,9,Score,5
Block 1,paddle boarding
Block 2,crafts
Block 3,riflery

Name,Kaylee Weippert,Tent,10,Score,9
Block 1,archery
Block 2,low ropes
Block 3,sports
Block 4,riflery

Name,Kiran Mills,Tent,1,Score,5
Block 1,archery
Block 2,kayaking
Block 3,low ropes
Block 4,sports

Name,Lavender Medd,Tent,2,Score,5
Block 1,archery
Block 2,crafts
Block 3,low ropes
Block 4,sports

Name,Leland Reierson,Tent,3,Score,6
Block 1,riflery
Block 2,archery
Block 3,kayaking

Name,Lexie Jenkins,Tent,4,Score,5
Block 1,archery
Block 2,crafts
Block 3,low ropes
Block 4,sports

Name,Lynden Hoffman,Tent,5,Score,7
Block 1,riflery
Block 2,archery
Block 3,low ropes
Block 4,sports

Name,Madeleine Miron,Tent,6,Score,7
Block 1,archery
Block 2,riflery
Block 3,low ropes
Block 4,sports

Name,Madeline Perera,Tent,7,Score,9
Block 1,low ropes
Block 2,sports
Block 3,kayaking
Block 4,riflery

Name,Magnus Andreassen,Tent,8,Score,6
Block 1,riflery
Block 2,low ropes
Block 3,sports
Block 4,paddle boarding

Name,Maia Eria,Tent,9,Score,6
Block 1,paddle boarding
Block 2,riflery
Block 3,crafts

Name,Mason Smith,Tent,10,Score,7
Block 1,kayaking
Block 2,low ropes
Block 3,sports
Block 4,paddle boarding

Name,Mckenzie Bellrose,Tent,1,Score,7
Block 1,kayaking
Block 2,paddle boarding
Block 3,low ropes
Block 4,sports

Name,Nathan Le Bourdais,Tent,2,Score,7
Block 1,archery
Block 2,riflery
Block 3,low ropes
Block 4,sports

Name,Nathan Reierson,Tent,3,Score,6
Block 1,archery
Block 2,riflery
Block 3,paddle boarding

Name,Nina Rempel,Tent,4,Score,6
Block 1,archery
Block 2,low ropes
Block 3,sports
Block 4,riflery

Name,Novah Legendre,Tent,5,Score,6
Block 1,archery
Block 2,riflery
Block 3,crafts

Name,Oliver Sinclair,Tent,6,Score,6
Block 1,riflery
Block 2,paddle boarding
Block 3,canoeing

Name,Ryder Cummings,Tent,7,Score,8
Block 1,low ropes
Block 2,sports
Block 3,riflery
Block 4,crafts

Name,Scotia Walther,Tent,8,Score,6
Block 1,archery
Block 2,low ropes
Block 3,sports
Block 4,riflery

Name,Serena Chapman,Tent,9,Score,9
Block 1,low ropes
Block 2,sports
Block 3,paddle boarding
Block 4,riflery

Name,Simon Pellerin,Tent,10,Score,7
Block 1,riflery
Block 2,archery
Block 3,low ropes
Block 4,sports

Name,Sophie reid,Tent,1,Score,6
Block 1,riflery
Block 2,kayaking
Block 3,paddle boarding

Name,Stella Colyn,Tent,2,Score,9
Block 1,low ropes
Block 2,sports
Block 3,paddle boarding
Block 4,riflery

Name,Storm Zapp,Tent,3,Score,9
Block 1,low ropes
Block 2,sports
Block 3,crafts
Block 4,archery

Name,Taryn Jenkins,Tent,4,Score,7
Block 1,riflery
Block 2,archery
Block 3,low ropes
Block 4,sports

Name,Treyden Ermine,Tent,5,Score,7
Block 1,riflery
Block 2,low ropes
Block 3,sports
Block 4,kayaking

Name,Valentina Gradica,Tent,6,Score,7
Block 1,canoeing
Block 2,archery
Block 3,low ropes
Block 4,sports

Name,Vanessa Keddy,Tent,7,Score,5
Block 1,archery
Block 2,crafts
Block 3,low ropes
Block 4,sports

Name,Wyatt Sawyer,Tent,8,Score,7
Block 1,riflery
Block 2,archery
Block 3,low ropes
Block 4,sports

Name,Xander Dennis,Tent,9,Score,7
Block 1,riflery
Block 2,low ropes
Block 3,sports
Block 4,kayaking

Name,Zoe Brunn,Tent,10,Score,6
Block 1,kayaking
Block 2,riflery
Block 3,low ropes
Block 4,sports

